sweep: 90 cells  (3H x 10TP/SL x 3fk)

Loading candle data (365d_BA) ...
  loaded 20 pairs

Building base features ...
  AUD_CAD
  AUD_JPY
  AUD_NZD
  AUD_USD
  CHF_JPY
  EUR_AUD
  EUR_CAD
  EUR_CHF
  EUR_GBP
  EUR_JPY
  EUR_USD
  GBP_AUD
  GBP_CHF
  GBP_JPY
  GBP_USD
  NZD_JPY
  NZD_USD
  USD_CAD
  USD_CHF
  USD_JPY

  H40_TP3.0_SL1.5_fk1.5 ... n=168  hit=14.9%  PnL=-5pip  Sharpe=-0.0057
  H40_TP3.0_SL1.5_fk2.0 ... n=334  hit=18.3%  PnL=93pip  Sharpe=0.0459
  H40_TP3.0_SL2.0_fk1.0 ... n=198  hit=23.2%  PnL=23pip  Sharpe=0.0182
  H40_TP3.0_SL2.0_fk1.5 ... n=506  hit=22.1%  PnL=-102pip  Sharpe=-0.0303
  H40_TP3.0_SL2.0_fk2.0 ... n=946  hit=22.7%  PnL=-149pip  Sharpe=-0.0234
  H40_TP3.0_SL3.0_fk1.0 ... n=605  hit=30.1%  PnL=-265pip  Sharpe=-0.0498
  H40_TP3.0_SL3.0_fk1.5 ... n=846  hit=26.6%  PnL=-1,066pip  Sharpe=-0.1457
  H40_TP3.0_SL3.0_fk2.0 ... n=1,309  hit=27.0%  PnL=-1,472pip  Sharpe=-0.1333

--- HORIZON=60 ---
  H60_TP1.0_SL1.0_fk1.0 ... n=32  hit=37.5%  PnL=-71pip  Sharpe=-0.2657
  H60_TP1.0_SL1.0_fk1.5 ... n=82  hit=34.1%  PnL=-72pip  Sharpe=-0.1264
  H60_TP1.0_SL1.0_fk2.0 ... n=151  hit=31.8%  PnL=-173pip  Sharpe=-0.2068
  H60_TP1.5_SL1.0_fk1.0 ... n=66  hit=24.2%  PnL=-45pip  Sharpe=-0.1148
  H60_TP1.5_SL1.0_fk1.5 ... n=171  hit=22.2%  PnL=-119pip  Sharpe=-0.1198
  H60_TP1.5_SL1.0_fk2.0 ... n=258  hit=24.4%  PnL=-141pip  Sharpe=-0.1015
  H60_TP1.5_SL1.5_fk1.0 ... n=129  hit=38.8%  PnL=-140pip  Sharpe=-0.1060
  H60_TP1.5_SL1.5_fk1.5 ... n=221  hit=42.1%  PnL=-136pip  Sharpe=-0.0714
  H60_TP1.5_SL1.5_fk2.0 ... n=412  hit=38.1%  PnL=-249pip  Sharpe=-0.0771
  H60_TP2.0_SL1.0_fk1.0 ... n=47  hit=25.5%  PnL=33pip  Sharpe=0.0989
  H60_TP2.0_SL1.0_fk1.5 ... n=133  hit=20.3%  PnL=-12pip  Sharpe=-0.0167
  H60_TP2.0_SL1.0_fk2.0 ... n=185  hit=19.5%  PnL=-9pip  Sharpe=-0.0094
  H60_TP2.0_SL1.5_fk1.0 ... n=254  hit=35.0%  PnL=113pip  Sharpe=0.0589
  H60_TP2.0_SL1.5_fk1.5 ... n=481  hit=27.7%  PnL=-124pip  Sharpe=-0.0381
  H60_TP2.0_SL1.5_fk2.0 ... n=694  hit=29.5%  PnL=-20pip  Sharpe=-0.0042
  H60_TP2.0_SL2.0_fk1.0 ... n=343  hit=38.8%  PnL=-158pip  Sharpe=-0.0516
  H60_TP2.0_SL2.0_fk1.5 ... n=418  hit=34.7%  PnL=-537pip  Sharpe=-0.1345
  H60_TP2.0_SL2.0_fk2.0 ... n=672  hit=36.5%  PnL=-430pip  Sharpe=-0.0749
  H60_TP3.0_SL1.0_fk1.0 ... n=34  hit=23.5%  PnL=40pip  Sharpe=0.1726
  H60_TP3.0_SL1.0_fk1.5 ... n=61  hit=14.8%  PnL=58pip  Sharpe=0.1428
  H60_TP3.0_SL1.0_fk2.0 ... n=123  hit=18.7%  PnL=95pip  Sharpe=0.1265
  H60_TP3.0_SL1.5_fk1.0 ... n=115  hit=12.2%  PnL=43pip  Sharpe=0.0497
  H60_TP3.0_SL1.5_fk1.5 ... n=215  hit=14.4%  PnL=-75pip  Sharpe=-0.0575
  H60_TP3.0_SL1.5_fk2.0 ... n=387  hit=18.6%  PnL=124pip  Sharpe=0.0482
  H60_TP3.0_SL2.0_fk1.0 ... n=505  hit=23.8%  PnL=-54pip  Sharpe=-0.0156
  H60_TP3.0_SL2.0_fk1.5 ... n=676  hit=23.7%  PnL=1pip  Sharpe=0.0001
  H60_TP3.0_SL2.0_fk2.0 ... n=1,033  hit=23.3%  PnL=-153pip  Sharpe=-0.0199
  H60_TP3.0_SL3.0_fk1.0 ... n=1,006  hit=32.9%  PnL=-1,195pip  Sharpe=-0.1231
  H60_TP3.0_SL3.0_fk1.5 ... n=1,073  hit=34.3%  PnL=-954pip  Sharpe=-0.0884
